location_name,lat,lon,centreline_id,centreline_type,total_vehicle,total_pedestrian,collision_count,fatal_count,n_schools,n_childcare,n_libraries,n_community_centres,n_emergency_services,ltc_beds_nearby,score_traffic,score_collision,score_impact,score_density,priority_score
Dupont St / Delaware Ave,43.6699401685684,-79.4315488014472,13463619,2,21852,767,1,0,1,1,0,0,0,0,0.30077988622386126,0.03225806451612903,0.020253164556962026,0.0,0.120613915670389
Kingston Rd / Parkcrest Dr,43.7359390653903,-79.2202041415566,13452173,2,18083,428,0,0,0,1,0,0,0,0,0.248944586706363,0.0,0.007594936708860758,0.3196090047393365,0.12061049316293285
The West Mall / Civic Centre Crt,43.6422480406022,-79.5660016578348,13468202,2,5046,267,3,0,1,1,0,0,0,191,0.06935047716657697,0.0967741935483871,0.11720747927777421,0.38992890995260665,0.12057802160105292
Yonge St / Asquith Ave,43.6712822545824,-79.3871879452491,13463257,2,7497,7846,1,0,2,2,2,0,1,0,0.10298109170023242,0.03225806451612903,0.2321729957805907,0.2665876777251185,0.12042707160435649
Floyd Ave / Donlands Ave,43.6890249396994,-79.3408289455102,13459978,2,7742,206,0,0,1,2,0,1,1,0,0.10665564556349531,0.0,0.18201476793248944,0.4668838862559242,0.12042081815931367
O'Connor Dr / Lankin Blvd,43.6975233707946,-79.3305687255727,13458381,2,17840,147,0,0,3,2,0,0,0,0,0.2460219016102396,0.0,0.053164556962025315,0.23678909952606636,0.12041948690859555
Oakwood Ave / Conway Ave,43.6826648432408,-79.436905278719,13461410,2,7722,611,1,0,2,2,0,1,0,0,0.1061686501512429,0.03225806451612903,0.07800632911392405,0.5634478672985782,0.12039540268622281
Dufferin St / Lindsey Ave (North),43.6536096058227,-79.4329422162934,13466262,2,10142,1169,1,0,2,3,0,0,0,0,0.1395364493290239,0.03225806451612903,0.04810126582278481,0.5059241706161137,0.12034075007197187
Centennial Rd / Lawrence Ave E,43.7773587396876,-79.1465639414046,13445921,2,10058,253,3,0,0,0,0,0,1,0,0.13832376890100406,0.0967741935483871,0.11666666666666665,0.14686018957345973,0.1203036391479662
Yonge St: Lawton Parkette Trl - Beltline Trl,43.693645000000004,-79.395645,60030923,1,16528,2235,0,0,1,4,0,0,0,0,0.22743132136236024,0.0,0.043037974683544304,0.3205568720379147,0.1202642446173264
Bloor St W / Jackson Ave,43.6479164312883,-79.5088845045976,13467363,2,15877,3299,0,0,0,1,0,0,1,0,0.21843296916808772,0.0,0.12426160337552741,0.18951421800947868,0.12025528168488406
Morningside Ave / Windermere Ave,43.6449289201044,-79.478309424682,13467726,2,10156,1646,0,0,1,1,1,1,1,0,0.1396246702178451,0.0,0.21191983122362867,0.2898696682464455,0.12023956764561608
Callowhill Dr / The Westway,43.6839744508157,-79.5643095000011,13461478,2,5461,963,2,1,1,0,0,0,0,0,0.07492565157370346,0.1935483870967742,0.012658227848101264,0.23738151658767773,0.1202357107630552
Dufferin St / Dolomite Dr,43.7808437524902,-79.4698197297184,13446092,2,21972,318,1,0,0,2,0,0,0,0,0.30257881503946504,0.03225806451612903,0.015189873417721517,0.0,0.12023088252800222
Weston Rd / Fern Ave,43.7023724259815,-79.5237900609605,13458075,2,7939,421,1,0,2,3,1,0,0,108,0.10917534305624163,0.03225806451612903,0.14042360084816552,0.4263625592417062,0.12022266874413345
